,year,name,gCNN_d18o
353,1979,ball_m,23.038
354,1979,ball_v,30.362
355,1979,ortega_jam,23.566
356,1979,rodcat_utu,25.018
357,1979,rodcat_gua,28.715
358,1979,rodcat_irr,30.199
359,1979,rodcat_fsa,26.746
360,1980,baker_ecu,23.565
361,1980,brie_sel,22.556
362,1980,jenkins,23.038
363,1980,ball_m,23.038
364,1980,ball_v,30.362
365,1980,ortega_jam,23.566
366,1980,rodcat_utu,25.018
367,1980,rodcat_gua,28.715
368,1980,rodcat_irr,30.199
369,1980,rodcat_fsa,26.746
370,1981,baker_ecu,23.565
371,1981,brie_sel,22.556
372,1981,jenkins,23.038
373,1981,ball_m,23.038
374,1981,ball_v,30.362
375,1981,ortega_jam,23.566
376,1981,rodcat_utu,25.018
377,1981,rodcat_gua,28.715
378,1981,rodcat_irr,30.199
379,1981,rodcat_fsa,26.746
380,1982,baker_ecu,23.565
381,1982,brie_sel,22.556
382,1982,jenkins,23.038
383,1982,ball_m,23.038
384,1982,ball_v,30.362
385,1982,ortega_jam,23.566
386,1982,rodcat_utu,25.018
387,1982,rodcat_gua,28.715
388,1982,rodcat_irr,30.199
389,1982,rodcat_fsa,26.746
390,1983,baker_ecu,23.565
391,1983,brie_sel,22.556
392,1983,jenkins,23.038
393,1983,ball_m,23.038
394,1983,ball_v,30.362
395,1983,ortega_jam,23.566
396,1983,rodcat_utu,25.018
397,1983,rodcat_gua,28.715
398,1983,rodcat_irr,30.199
399,1983,rodcat_fsa,26.746
400,1984,baker_ecu,23.565
401,1984,brie_sel,22.556
402,1984,jenkins,23.038
403,1984,ball_m,23.038
404,1984,ball_v,30.362
405,1984,ortega_jam,23.566
406,1984,rodcat_utu,25.018
407,1984,rodcat_gua,28.715
408,1984,rodcat_irr,30.199
409,1984,rodcat_fsa,26.746
410,1985,baker_ecu,23.565
411,1985,brie_sel,22.556
412,1985,jenkins,23.038
413,1985,ball_m,23.038
414,1985,ball_v,30.362
415,1985,ortega_jam,23.566
416,1985,rodcat_utu,25.018
417,1985,rodcat_gua,28.715
418,1985,rodcat_irr,30.199
419,1985,rodcat_fsa,26.746
420,1986,baker_ecu,23.565
421,1986,brie_sel,22.556
422,1986,jenkins,23.038
423,1986,ball_m,23.038
424,1986,ball_v,30.362
425,1986,ortega_jam,23.566
426,1986,rodcat_utu,25.018
427,1986,rodcat_gua,28.715
428,1986,rodcat_irr,30.199
429,1986,rodcat_fsa,26.746
430,1987,baker_ecu,23.565
431,1987,brie_sel,22.556
432,1987,jenkins,23.038
433,1987,ball_m,23.038
434,1987,ball_v,30.362
435,1987,ortega_jam,23.566
436,1987,rodcat_utu,25.018
437,1987,rodcat_gua,28.715
438,1987,rodcat_irr,30.199
439,1987,rodcat_fsa,26.746
440,1988,baker_ecu,23.565
441,1988,brie_sel,22.556
442,1988,jenkins,23.038
443,1988,ball_m,23.038
444,1988,ball_v,30.362
445,1988,ortega_jam,23.566
446,1988,rodcat_utu,25.018
447,1988,rodcat_gua,28.715
448,1988,rodcat_irr,30.199
449,1988,rodcat_fsa,26.746
450,1989,baker_ecu,23.565
451,1989,brie_sel,22.556
452,1989,jenkins,23.038
453,1989,ball_m,23.038
454,1989,ball_v,30.362
455,1989,ortega_jam,23.566
456,1989,rodcat_utu,25.018
457,1989,rodcat_gua,28.715
458,1989,rodcat_irr,30.199
459,1989,rodcat_fsa,26.746
460,1990,baker_ecu,23.565
461,1990,brie_sel,22.556
462,1990,jenkins,23.038
463,1990,ball_m,23.038
464,1990,ball_v,30.362
465,1990,ortega_jam,23.566
466,1990,rodcat_utu,25.018
467,1990,rodcat_gua,28.715
468,1990,rodcat_irr,30.199
469,1990,rodcat_fsa,26.746
470,1991,baker_ecu,23.565
471,1991,brie_sel,22.556
472,1991,jenkins,23.038
473,1991,ball_m,23.038
474,1991,ball_v,30.362
475,1991,ortega_jam,23.566
476,1991,rodcat_utu,25.018
477,1991,rodcat_gua,28.715
478,1991,rodcat_irr,30.199
479,1991,rodcat_fsa,26.746
480,1992,baker_ecu,23.565
481,1992,brie_sel,22.556
482,1992,jenkins,23.038
483,1992,ball_m,23.038
484,1992,ball_v,30.362
485,1992,ortega_jam,23.566
486,1992,rodcat_utu,25.018
487,1992,rodcat_gua,28.715
488,1992,rodcat_irr,30.199
489,1992,rodcat_fsa,26.746
490,1993,baker_ecu,23.565
491,1993,brie_sel,22.556
492,1993,brie_elt,22.771
493,1993,jenkins,23.038
494,1993,ball_m,23.038
495,1993,ball_v,30.362
496,1993,ortega_jam,23.566
497,1993,rodcat_utu,25.018
498,1993,rodcat_gua,28.715
499,1993,rodcat_irr,30.199
500,1993,rodcat_fsa,26.746
501,1994,baker_ecu,23.565
502,1994,brie_sel,22.556
503,1994,brie_elt,22.771
504,1994,jenkins,23.038
505,1994,ball_m,23.038
506,1994,ball_v,30.362
507,1994,ortega_jam,23.566
508,1994,rodcat_utu,25.018
509,1994,rodcat_gua,28.715
510,1994,rodcat_irr,30.199
511,1994,rodcat_fsa,26.746
512,1995,baker_ecu,23.565
513,1995,brie_sel,22.556
514,1995,brie_elt,22.771
515,1995,jenkins,23.038
516,1995,ball_m,23.038
517,1995,ball_v,30.362
518,1995,ortega_jam,23.566
519,1995,rodcat_utu,25.018
520,1995,rodcat_gua,28.715
521,1995,rodcat_irr,30.199
522,1995,rodcat_fsa,26.746
523,1996,baker_ecu,23.565
524,1996,brie_sel,22.556
525,1996,brie_elt,22.771
526,1996,jenkins,23.038
527,1996,ball_m,23.038
528,1996,ball_v,30.362
529,1996,ortega_jam,23.566
530,1996,rodcat_utu,25.018
531,1996,rodcat_gua,28.715
532,1996,rodcat_irr,30.199
533,1996,rodcat_fsa,26.746
534,1997,baker_ecu,23.565
535,1997,brie_sel,22.556
536,1997,brie_elt,22.771
537,1997,jenkins,23.038
538,1997,ball_m,23.038
539,1997,ball_v,30.362
540,1997,ortega_jam,23.566
541,1997,rodcat_utu,25.018
542,1997,rodcat_gua,28.715
543,1997,rodcat_irr,30.199
544,1997,rodcat_fsa,26.746
545,1998,baker_ecu,23.565
546,1998,brie_sel,22.556
547,1998,brie_elt,22.771
548,1998,jenkins,23.038
549,1998,ball_m,23.038
550,1998,ball_v,30.362
551,1998,ortega_jam,23.566
552,1998,rodcat_utu,25.018
553,1998,rodcat_gua,28.715
554,1998,rodcat_irr,30.199
555,1998,rodcat_fsa,26.746
556,1999,baker_ecu,23.565
557,1999,brie_sel,22.556
558,1999,brie_elt,22.771
559,1999,jenkins,23.038
560,1999,ball_m,23.038
561,1999,ortega_jam,23.566
562,1999,rodcat_utu,25.018
563,1999,rodcat_gua,28.715
564,1999,rodcat_irr,30.199
565,1999,rodcat_fsa,26.746
566,2000,baker_ecu,23.565
